ID,Item,Company,Quantity,Target FG Warehouse,Currency,Conversion Rate,Show Operations,Transfer Material Against,With Operations,ID (Items),Item Code (Items),Qty (Items),Rate (Items),UOM (Items),Include Item In Manufacturing (Items),Stock Qty (Items),Stock UOM (Items),Conversion Factor (Items),BOM No (Items),Do Not Explode (Items),Source Warehouse (Items),ID (Operations),Operation (Operations),Operation Time (Operations),Workstation (Operations),Workstation Type (Operations)
,,,,,,,,,,,R215 Bottom Cover Assembly,1,1,Nos,1,1,Nos,1,BOM-R215 Bottom Cover Assembly-001,0,,,PDI,1,,PDI
,,,,,,,,,,,R215 Bottom Flyscreen Assembly,1,4.5,Nos,1,1,Nos,1,BOM-R215 Bottom Flyscreen Assembly-001,0,,,,,,
,,,,,,,,,,,Bottom Foam,2,1,Nos,1,2,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,C Clamp Spacer,12,1,Nos,1,12,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Cage For M8 Sq Nut 182X50X0.5,8,1.04,Nos,1,8,Nos,1,BOM-Cage For M8 Sq Nut 182X50X0.5-001,0,,,,,,
,,,,,,,,,,,EPDM Drain Hose,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,R215 Fan Cowl,1,1,Nos,1,1,Nos,1,BOM-R215 Fan Cowl-001,0,,,,,,
,,,,,,,,,,,R215 Finger Guard,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Foam for CAC,2,1,Nos,1,2,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Foam for gap B/W Cooler and F/C,2,1,Nos,1,2,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Foam for OIL Cooler,2,1,Nos,1,2,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,HEX Head Bolt M8*1.25P*25LG,18,1,Nos,1,18,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,HEX Head Bolt M10*1.5P*30LG,28,1,Nos,1,28,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Hose Clip,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,R215 LH – RH Condenser MTG BKT,1,1,Pair,1,1,Set,1,BOM-R215 LH – RH Condenser MTG BKT-001,0,,,,,,
,,,,,,,,,,,R215 Ms Plate-2 (144X22X1.5),1,1.04,Nos,1,1,Nos,1,BOM-R215 Ms Plate-2 (144X22X1.5)-001,0,,,,,,
,,,,,,,,,,,R215 Ms Plate-1(102X22X1.5),1,1.03,Nos,1,1,Nos,1,BOM-R215 Ms Plate-1(102X22X1.5)-001,0,,,,,,
,,,,,,,,,,,M8 Nuts,2,1,Nos,1,2,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,R215 OC,1,69.93,Nos,1,1,Nos,1,BOM-R215 OC-001,0,,,,,,
,,,,,,,,,,,M10 Plain Washer,28,1,Nos,1,28,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,M8 Plain Washer,26,1,Nos,1,26,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,R215 RAD,1,42.23,Nos,1,1,Nos,1,BOM-R215 RAD Bottom Tank-001,0,,,,,,
,,,,,,,,,,,Rivets - 4.8 X 12.5,4,1,Nos,1,4,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,M10 Spring Washer,28,1,Nos,1,28,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,M8 Spring Washer,26,1,Nos,1,26,Nos,1,,0,BOF Stores – TPL,,,,,
