"ID","Item","Company","Quantity","Target FG Warehouse","With Operations","Item Code (Items)","Qty (Items)","UOM (Items)","Conversion Factor (Items)","Source Warehouse (Items)","Item operation (Items)","Stock UOM (Items)","Operation (Operations)","Operation Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"","","","","","","R215 RAD Tube Sheet 0.6*110*1021",50.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"","","","","","","Turbulator 0.2*250*96.0",12.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"","","","","","","Turbulator 0.2*300*96.0",72.0,"Nos",1.0,"WIP-Ralu In - TPL","Core Assembly","Nos","","","",""
"BOM-R215 External Fin For CAC 0.2*110*911-001","R215 External Fin For CAC 0.2*110*911","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.2*110",0.215,"Kg",1.0,"Raw Material Stores - TPL","Fin Forming","Kg","Fin Forming",1.0,"","Fin Forming and Cutting"
"BOM-R215 External Fin For CAC 0.3*110*911-001","R215 External Fin For CAC 0.3*110*911","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.3*110MM",0.322,"Kg",1.0,"Raw Material Stores - TPL","Fin Forming","Kg","Fin Forming",1.0,"","Fin Forming and Cutting"
"BOM-Extruded Bar for OC and RAD 3*7*1021-001","Extruded Bar for OC and RAD 3*7*1021","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Extruded Bar (ALU-STD-0043)(3*7)",0.059,"Kg",1.0,"Raw Material Stores - TPL","Bar Cutting","Kg","Bar Cutting",1.0,"","Aluminium Bar Cutting"
"BOM-R215 Fan Cowl-001","R215 Fan Cowl","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 Fan Cowl",1.0,"Nos",1.0,"BOF Stores - TPL","Painting","Nos","Painting",1.0,"","RA Painting"
"BOM-R215 Fin For OC 0.3*110*991-001","R215 Fin For OC 0.3*110*991","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.3*110MM",0.35,"Kg",1.0,"Raw Material Stores - TPL","Fin Forming","Kg","Fin Forming",1.0,"","Fin Forming and Cutting"
"BOM-R215 Fin For RAD 0.2*110*991-001","R215 Fin For RAD 0.2*110*991","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.2*110",0.231,"Kg",1.0,"Raw Material Stores - TPL","Fin Forming","Kg","Fin Forming",1.0,"","Fin Forming and Cutting"
"BOM-Internal Fin For CAC 0.2*140*90-001","Internal Fin For CAC 0.2*140*90","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.2×140",0.023,"Kg",1.0,"Raw Material Stores - TPL","Fin Forming","Kg","Fin Forming",1.0,"","Fin Forming and Cutting"
"BOM-Internal Fin For CAC 0.2*200*90-001","Internal Fin For CAC 0.2*200*90","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.2×200MM",0.033,"Kg",1.0,"Raw Material Stores - TPL","Fin Forming","Kg","Fin Forming",1.0,"","Fin Forming and Cutting"
"BOM-R215 LH – RH Condenser MTG BKT-001","R215 LH – RH Condenser MTG BKT","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 LH – RH Condenser MTG BKT",1.0,"Set",1.0,"BOF Stores - TPL","Painting","Set","Painting",1.0,"","RA Painting"
"BOM-R215 OC Bottom Tank Sub Assy-001","R215 OC Bottom Tank Sub Assy","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 OC Bottom Tank",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank Assembly","Nos","Tank Assembly",1.0,"","Mig Welding"
"","","","","","","0261Oc-Alu-2-004",1.0,"Nos",1.0,"BOF Stores - TPL","Tank Assembly","Nos","","","",""
"","","","","","","Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008",2.0,"Nos",1.0,"WIP-RP - TPL","Tank Assembly","Nos","","","",""
"BOM-R215 OC Core End Plate 5X165X1021-001","R215 OC Core End Plate 5X165X1021","Teksons Pvt Ltd",1.0,"WIP-RP - TPL",1,"Aluminium Sheet 5MM Thk",2.3,"Kg",1.0,"Raw Material Stores - TPL","Shearing","Kg","Shearing",1.0,"","Shearing Machine"
"BOM-R215 OC Top & Bottom Tank 70x113x7.5x377LG-001","R215 OC Top & Bottom Tank 70x113x7.5x377LG","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG",3.11,"Kg",1.0,"Raw Material Stores - TPL","Size Cutting","Kg","Size Cutting",1.0,"","Accurate Cutting"
"","","","","","","","","","","","","","Drilling & Boring",1.0,"","Drilling, Boring and Milling"
"BOM-R215 OC Top Tank Sub Assy-001","R215 OC Top Tank Sub Assy","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008",2.0,"Nos",1.0,"WIP-RP - TPL","Tank Assembly","Nos","Tank Assembly",1.0,"","Mig Welding"
"","","","","","","R215 OC Top Tank",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank Assembly","Nos","","","",""
"BOM-R215 OC-001","R215 OC","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Drain Plug",1.0,"Nos",1.0,"BOF Stores - TPL","Tank To Core","Nos","Tank To Core",1.0,"","Mig Welding"
"","","","","","","R215 OC Core",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","Angle Assembly",1.0,"","Mig Welding"
"","","","","","","Rubber Seal",1.0,"Nos",1.0,"BOF Stores - TPL","Tank To Core","Nos","Leak Testing",1.0,"","Leak Test"
"","","","","","","R215 OC Bottom Tank Sub Assy",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","","","",""
"","","","","","","R215 OC Top Tank Sub Assy",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","","","",""
"","","","","","","OC Inlet & Outlet Block 101X66X30",2.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","","","",""
"","","","","","","Condenser Mounting Block 31X19X25",2.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","","","",""
