"ID","Series","Status","Item To Manufacture","BOM No","Company","Qty To Manufacture","Target Warehouse","Planned Start Date","Item Code (Required Items)","Operation (Required Items)","Required Qty (Required Items)","Source Warehouse (Required Items)","Workstation (Operations)","Workstation Type (Operations)","Sequence ID (Operations)","Operation (Operations)"
"WO/260808/0268","WO/.YY.MM.DD./.####.","Draft","R215 OC","BOM-R215 OC-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Drain Plug","Tank To Core",1.0,"BOF Stores - TPL","","Mig Welding",1,"Tank To Core"
"","","","","","","","","","R215 OC Core","Tank To Core",1.0,"WIP-Ralu Weld - TPL","","Mig Welding",2,"Angle Assembly"
"","","","","","","","","","Rubber Seal","Tank To Core",1.0,"BOF Stores - TPL","","Leak Test",3,"Leak Testing"
"","","","","","","","","","R215 OC Bottom Tank Sub Assy","Tank To Core",1.0,"WIP-Ralu Weld - TPL","","","",""
"","","","","","","","","","R215 OC Top Tank Sub Assy","Tank To Core",1.0,"WIP-Ralu Weld - TPL","","","",""
"","","","","","","","","","OC Inlet & Outlet Block 101X66X30","Tank To Core",2.0,"WIP-Ralu Weld - TPL","","","",""
"","","","","","","","","","Condenser Mounting Block 31X19X25","Tank To Core",2.0,"WIP-Ralu Weld - TPL","","","",""
"","","","","","","","","","Stay Block 50X25X150","Tank To Core",1.0,"WIP-Ralu Weld - TPL","","","",""
"WO/260808/0267","WO/.YY.MM.DD./.####.","Draft","R215 Ms Plate-1(102X22X1.5)","BOM-R215 Ms Plate-1(102X22X1.5)-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","MS - 1.5MM Thk","Shearing",0.026,"Raw Material Stores - TPL","","Shearing Machine",1,"Shearing"
"","","","","","","","","","HEX Nut M8*1.25P","Shearing",1.0,"BOF Stores - TPL","","Corner Cutting, Punching, Folding and Blanking",2,"Punching"
"WO/260808/0266","WO/.YY.MM.DD./.####.","Draft","R215 Ms Plate-2 (144X22X1.5)","BOM-R215 Ms Plate-2 (144X22X1.5)-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","MS - 1.5 MM Thk","Shearing",0.037,"Raw Material Stores - TPL","","Shearing Machine",1,"Shearing"
"","","","","","","","","","HEX Nut M8*1.25P","Shearing",1.0,"BOF Stores - TPL","","Corner Cutting, Punching, Folding and Blanking",2,"Punching"
"WO/260808/0265","WO/.YY.MM.DD./.####.","Draft","R215 LH – RH Condenser MTG BKT","BOM-R215 LH – RH Condenser MTG BKT-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 LH – RH Condenser MTG BKT","Painting",1.0,"BOF Stores - TPL","","RA Painting",1,"Painting"
"WO/260808/0264","WO/.YY.MM.DD./.####.","Draft","R215 Fan Cowl","BOM-R215 Fan Cowl-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 Fan Cowl","Painting",1.0,"BOF Stores - TPL","","RA Painting",1,"Painting"
